ID_Tiempo,Anio,Mes,Numero_Mes,Trimestre,Semestre,Temporada
90,2023,Junio,6,Q2,H1,"Seca (Efecto Poligono)"
91,2023,Julio,7,Q3,H2,"Seca (Efecto Poligono)"
92,2023,Agosto,8,Q3,H2,"Seca (Efecto Poligono)"
93,2023,Septiembre,9,Q3,H2,"Seca (Efecto Poligono)"
94,2023,Octubre,10,Q4,H2,"Seca (Efecto Poligono)"
95,2023,Noviembre,11,Q4,H2,Transicion
96,2023,Diciembre,12,Q4,H2,"Humeda (Efecto Espejo)"
97,2024,Enero,1,Q1,H1,"Humeda (Efecto Espejo)"
98,2024,Febrero,2,Q1,H1,"Humeda (Efecto Espejo)"
99,2024,Marzo,3,Q1,H1,"Humeda (Efecto Espejo)"
100,2024,Abril,4,Q2,H1,Transicion
101,2024,Mayo,5,Q2,H1,"Seca (Efecto Poligono)"
102,2024,Junio,6,Q2,H1,"Seca (Efecto Poligono)"
103,2024,Julio,7,Q3,H2,"Seca (Efecto Poligono)"
104,2024,Agosto,8,Q3,H2,"Seca (Efecto Poligono)"
105,2024,Septiembre,9,Q3,H2,"Seca (Efecto Poligono)"
106,2024,Octubre,10,Q4,H2,"Seca (Efecto Poligono)"
107,2024,Noviembre,11,Q4,H2,Transicion
108,2024,Diciembre,12,Q4,H2,"Humeda (Efecto Espejo)"
